project;version;class;bugs
ivy;2.0;org.apache.ivy.ant.IvyVar;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DependencyDescriptor;0
ivy;2.0;org.apache.ivy.plugins.namespace.Namespace$2;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.HasLatestStrategy;0
ivy;2.0;org.apache.ivy.util.url.CredentialsStore;0
ivy;2.0;org.apache.ivy.plugins.resolver.RepositoryResolver;0
ivy;2.0;org.apache.ivy.core.report.ConfigurationResolveReport;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DependencyArtifactDescriptor;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomReader$PomDependencyData;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorWriter$1;0
ivy;2.0;org.apache.ivy.plugins.circular.CircularDependencyStrategy;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestLexicographicStrategy;0
ivy;2.0;org.apache.ivy.plugins.circular.CircularDependencyHelper;0
ivy;2.0;org.apache.ivy.util.url.URLHandlerRegistry;0
ivy;2.0;org.apache.ivy.plugins.latest.ArtifactInfo;0
ivy;2.0;org.apache.ivy.core.report.DownloadReport;0
ivy;2.0;org.apache.ivy.ant.IvyBuildNumber;1
ivy;2.0;org.apache.ivy.plugins.matcher.ExactPatternMatcher;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor;1
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler$1;0
ivy;2.0;org.apache.ivy.core.module.descriptor.License;0
ivy;2.0;org.apache.ivy.core.repository.RepositoryManagementEngine;0
ivy;2.0;org.apache.ivy.plugins.conflict.LatestConflictManager$1;0
ivy;2.0;org.apache.ivy.plugins.conflict.RegexpConflictManager;0
ivy;2.0;org.apache.ivy.plugins.lock.ArtifactLockStrategy;0
ivy;2.0;org.apache.ivy.core.retrieve.RetrieveEngine$1;0
ivy;2.0;org.apache.ivy.plugins.report.XmlReportParser$SaxXmlReportParser$XmlReportParserHandler;0
ivy;2.0;org.apache.ivy.plugins.resolver.AbstractResolver;2
ivy;2.0;org.apache.ivy.plugins.trigger.AbstractTrigger;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestLexicographicStrategy$1;0
ivy;2.0;org.apache.ivy.core.cache.ModuleDescriptorWriter;0
ivy;2.0;org.apache.ivy.core.search.ModuleEntry;0
ivy;2.0;org.apache.ivy.core.sort.NonMatchingVersionReporter;0
ivy;2.0;org.apache.ivy.plugins.lock.AbstractLockStrategy;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorWriter$ConfigurationScopeMapping;0
ivy;2.0;org.apache.ivy.core.deliver.DeliverEngineSettings;0
ivy;2.0;org.apache.ivy.core.module.status.Status;0
ivy;2.0;org.apache.ivy.core.settings.IvyPattern;0
ivy;2.0;org.apache.ivy.plugins.circular.AbstractCircularDependencyStrategy;0
ivy;2.0;org.apache.ivy.core.module.descriptor.MDArtifact;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$3;0
ivy;2.0;org.apache.ivy.plugins.lock.FileBasedLockStrategy$NIOFileLocker;0
ivy;2.0;org.apache.ivy.core.check.CheckEngine;0
ivy;2.0;org.apache.ivy.core.cache.DefaultResolutionCacheManager;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder;3
ivy;2.0;org.apache.ivy.plugins.conflict.LatestConflictManager$IvyNodeArtifactInfo;0
ivy;2.0;org.apache.ivy.plugins.version.Match$1;0
ivy;2.0;org.apache.ivy.core.retrieve.RetrieveEngineSettings;0
ivy;2.0;org.apache.ivy.plugins.resolver.DependencyResolver;0
ivy;2.0;org.apache.ivy.core.cache.RepositoryCacheManager;1
ivy;2.0;org.apache.ivy.plugins.conflict.LatestConflictManager$NoConflictResolvedYetException;0
ivy;2.0;org.apache.ivy.core.sort.SortEngine;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestTimeStrategy$1;0
ivy;2.0;org.apache.ivy.util.FileResolver;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$6;0
ivy;2.0;org.apache.ivy.core.module.id.ArtifactId;0
ivy;2.0;org.apache.ivy.ant.IvyBuildNumber$Range;0
ivy;2.0;org.apache.ivy.plugins.resolver.packager.PackagerResolver;0
ivy;2.0;org.apache.ivy.core.event.download.StartArtifactDownloadEvent;0
ivy;2.0;org.apache.ivy.util.extendable.UnmodifiableExtendableItem;0
ivy;2.0;org.apache.ivy.ant.IvyRepositoryReport;0
ivy;2.0;org.apache.ivy.core.module.descriptor.Artifact;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNodeCallers;2
ivy;2.0;org.apache.ivy.plugins.repository.vsftp.VsftpRepository$2;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultArtifact;0
ivy;2.0;org.apache.ivy.ant.IvyTask;0
ivy;2.0;org.apache.ivy.plugins.matcher.GlobPatternMatcher;0
ivy;2.0;org.apache.ivy.core.settings.IvyVariableContainer;0
ivy;2.0;org.apache.ivy.core.settings.IvySettings$4;0
ivy;2.0;org.apache.ivy.core.report.MetadataArtifactDownloadReport;0
ivy;2.0;org.apache.ivy.util.extendable.ExtendableItem;0
ivy;2.0;org.apache.ivy.ant.IvyCachePath;0
ivy;2.0;org.apache.ivy.ant.IvyPublish$ArtifactsPattern;0
ivy;2.0;org.apache.ivy.core.cache.ParserSettingsMonitor;1
ivy;2.0;org.apache.ivy.plugins.conflict.StrictConflictManager;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.SshCache;1
ivy;2.0;org.apache.ivy.core.cache.DefaultRepositoryCacheManager$MyModuleDescriptorProvider;0
ivy;2.0;org.apache.ivy.core.publish.PublishEngine;0
ivy;2.0;org.apache.ivy.plugins.namespace.Namespace$1;0
ivy;2.0;org.apache.ivy.core.event.download.PrepareDownloadEvent;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.Scp$FileInfo;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.RemoteScpException;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler;0
ivy;2.0;org.apache.ivy.plugins.lock.FileBasedLockStrategy$FileLocker;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$ConfMapper;0
ivy;2.0;org.apache.ivy.ant.IvyInstall;0
ivy;2.0;org.apache.ivy.util.Configurator$Attribute;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater;1
ivy;2.0;org.apache.ivy.plugins.matcher.PatternMatcher;0
ivy;2.0;org.apache.ivy.ant.IvyDeliver$1;0
ivy;2.0;org.apache.ivy.plugins.resolver.ChainResolver$ResolvedModuleRevisionArtifactInfo;0
ivy;2.0;org.apache.ivy.core.event.resolve.EndResolveEvent;0
ivy;2.0;org.apache.ivy.plugins.matcher.AnyMatcher;0
ivy;2.0;org.apache.ivy.plugins.resolver.URLResolver;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.ResolverHelper;0
ivy;2.0;org.apache.ivy.plugins.matcher.MatcherHelper;0
ivy;2.0;org.apache.ivy.plugins.lock.NoLockStrategy;0
ivy;2.0;org.apache.ivy.plugins.repository.AbstractRepository;0
ivy;2.0;org.apache.ivy.Ivy;0
ivy;2.0;org.apache.ivy.core.resolve.DownloadOptions;0
ivy;2.0;org.apache.ivy.core.IvyPatternHelper$OriginalArtifactNameValue;0
ivy;2.0;org.apache.ivy.tools.analyser.JarModule;0
ivy;2.0;org.apache.ivy.core.cache.DefaultRepositoryCacheManager$1;0
ivy;2.0;org.apache.ivy.core.resolve.ResolveEngineSettings;0
ivy;2.0;org.apache.ivy.core.sort.SortEngineSettings;0
ivy;2.0;org.apache.ivy.util.url.ApacheURLLister;0
ivy;2.0;org.apache.ivy.plugins.report.ReportOutputter;0
ivy;2.0;org.apache.ivy.util.Credentials;0
ivy;2.0;org.apache.ivy.core.event.retrieve.StartRetrieveEvent;0
ivy;2.0;org.apache.ivy.core.event.resolve.ResolveEvent;0
ivy;2.0;org.apache.ivy.plugins.repository.url.URLRepository;1
ivy;2.0;org.apache.ivy.plugins.report.XmlReportWriter;0
ivy;2.0;org.apache.ivy.core.sort.MessageBasedNonMatchingVersionReporter;0
ivy;2.0;org.apache.ivy.core.settings.XmlSettingsParser$1;0
ivy;2.0;org.apache.ivy.core.retrieve.RetrieveOptions;0
ivy;2.0;org.apache.ivy.core.resolve.ResolveOptions;0
ivy;2.0;org.apache.ivy.util.filter.AndFilter;0
ivy;2.0;org.apache.ivy.plugins.repository.ArtifactResourceResolver;0
ivy;2.0;org.apache.ivy.core.resolve.VisitNode;1
ivy;2.0;org.apache.ivy.plugins.circular.CircularDependencyException;0
ivy;2.0;org.apache.ivy.core.event.IvyEvent;0
ivy;2.0;org.apache.ivy.util.ConfigurationUtils;0
ivy;2.0;org.apache.ivy.plugins.repository.vsftp.VsftpRepository$5;0
ivy;2.0;org.apache.ivy.ant.IvyArtifactReport;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestRevisionStrategy$SpecialMeaning;0
ivy;2.0;org.apache.ivy.tools.analyser.DependencyAnalyser;0
ivy;2.0;org.apache.ivy.plugins.matcher.RegexpPatternMatcher;0
ivy;2.0;org.apache.ivy.util.url.URLHandler;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$5;0
ivy;2.0;org.apache.ivy.plugins.resolver.DualResolver;0
ivy;2.0;org.apache.ivy.util.ChecksumHelper;1
ivy;2.0;org.apache.ivy.plugins.circular.WarnCircularDependencyStrategy;0
ivy;2.0;org.apache.ivy.core.install.InstallEngineSettings;0
ivy;2.0;org.apache.ivy.util.url.HttpClientHandler;0
ivy;2.0;org.apache.ivy.ant.IvyBuildList;0
ivy;2.0;org.apache.ivy.plugins.resolver.IBiblioResolver;2
ivy;2.0;org.apache.ivy.core.NormalRelativeUrlResolver;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNodeEviction$ModuleIdConf;0
ivy;2.0;org.apache.ivy.ant.IvyCacheTask;0
ivy;2.0;org.apache.ivy.plugins.IvySettingsAware;0
ivy;2.0;org.apache.ivy.core.deliver.PublishingDependencyRevisionResolver;0
ivy;2.0;org.apache.ivy.core.sort.SimpleSortEngineSettings;0
ivy;2.0;org.apache.ivy.core.settings.IvySettings$3;0
ivy;2.0;org.apache.ivy.plugins.version.VersionRangeMatcher$MRIDArtifactInfo;0
ivy;2.0;org.apache.ivy.core.settings.Validatable;0
ivy;2.0;org.apache.ivy.util.cli.Option;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomDependencyMgt;1
ivy;2.0;org.apache.ivy.ant.AntMessageLogger;0
ivy;2.0;org.apache.ivy.core.module.id.ModuleRevisionId;1
ivy;2.0;org.apache.ivy.plugins.namespace.NamespaceTransformer;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$2;0
ivy;2.0;org.apache.ivy.ant.AntMessageLogger$1;0
ivy;2.0;org.apache.ivy.plugins.matcher.NoMatcher;0
ivy;2.0;org.apache.ivy.core.cache.DefaultResolutionCacheManager$1;0
ivy;2.0;org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher$ExactOrRegexpMatcher;0
ivy;2.0;org.apache.ivy.core.event.download.NeedArtifactEvent;0
ivy;2.0;org.apache.ivy.plugins.repository.vsftp.VsftpResource;0
ivy;2.0;org.apache.ivy.core.search.RevisionEntry;0
ivy;2.0;org.apache.ivy.util.filter.Filter;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomReader$PomPluginElement;0
ivy;2.0;org.apache.ivy.util.url.HttpClientHandler$HttpClientHelper;0
ivy;2.0;org.apache.ivy.core.retrieve.RetrieveEngine;3
ivy;2.0;org.apache.ivy.core.event.publish.EndArtifactPublishEvent;0
ivy;2.0;org.apache.ivy.core.event.retrieve.RetrieveEvent;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$5;0
ivy;2.0;org.apache.ivy.core.event.resolve.StartResolveEvent;0
ivy;2.0;org.apache.ivy.plugins.report.XmlReportParser;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNode;3
ivy;2.0;org.apache.ivy.util.url.HttpClientHandler$1;0
ivy;2.0;org.apache.ivy.core.ExecutionRelativeUrlResolver;0
ivy;2.0;org.apache.ivy.plugins.repository.ResourceDownloader;0
ivy;2.0;org.apache.ivy.util.cli.OptionBuilder;0
ivy;2.0;org.apache.ivy.plugins.namespace.NameSpaceHelper;0
ivy;2.0;org.apache.ivy.plugins.resolver.IBiblioResolver$1;0
ivy;2.0;org.apache.ivy.util.ContextualSAXHandler;0
ivy;2.0;org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher;0
ivy;2.0;org.apache.ivy.ant.IvyAntSettings;0
ivy;2.0;org.apache.ivy.ant.IvyAntSettings$1;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.SshRepository;0
ivy;2.0;org.apache.ivy.plugins.conflict.LatestConflictManager;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$3;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DependencyDescriptorMediator;0
ivy;2.0;org.apache.ivy.plugins.repository.vsftp.VsftpRepository$3;0
ivy;2.0;org.apache.ivy.util.cli.CommandLine;0
ivy;2.0;org.apache.ivy.ant.IvyMakePom$Mapping;0
ivy;2.0;org.apache.ivy.core.cache.ResolutionCacheManager;0
ivy;2.0;org.apache.ivy.core.sort.WarningNonMatchingVersionReporter;0
ivy;2.0;org.apache.ivy.plugins.resolver.SFTPResolver;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.SshCache$Entry$1;0
ivy;2.0;org.apache.ivy.core.report.ArtifactDownloadReport;1
ivy;2.0;org.apache.ivy.tools.analyser.JarJarDependencyAnalyser;0
ivy;2.0;org.apache.ivy.core.module.descriptor.Configuration;0
ivy;2.0;org.apache.ivy.core.resolve.ResolvedModuleRevision;0
ivy;2.0;org.apache.ivy.plugins.repository.Resource;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.ResolvedResource;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser;2
ivy;2.0;org.apache.ivy.util.HostUtil;0
ivy;2.0;org.apache.ivy.util.url.URLHandler$URLInfo;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$1;0
ivy;2.0;org.apache.ivy.core.LogOptions;0
ivy;2.0;org.apache.ivy.plugins.resolver.VsftpResolver;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.SshCache$CfUserInfo;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$4;0
ivy;2.0;org.apache.ivy.core.cache.ModuleDescriptorMemoryCache$CacheEntry;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultIncludeRule;0
ivy;2.0;org.apache.ivy.core.search.SearchEngine;0
ivy;2.0;org.apache.ivy.core.resolve.RestartResolveProcess;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestTimeStrategy;0
ivy;2.0;org.apache.ivy.core.event.publish.StartArtifactPublishEvent;0
ivy;2.0;org.apache.ivy.core.cache.CacheUtil;0
ivy;2.0;org.apache.ivy.tools.analyser.JarModuleFinder;0
ivy;2.0;org.apache.ivy.core.report.DownloadStatus;0
ivy;2.0;org.apache.ivy.core.search.OrganisationEntry;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$2;0
ivy;2.0;org.apache.ivy.plugins.resolver.SshResolver;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.ApacheHttpURLLister;0
ivy;2.0;org.apache.ivy.util.filter.NotFilter;0
ivy;2.0;org.apache.ivy.core.settings.XmlSettingsParser$IvyVariableContainerWrapper;0
ivy;2.0;org.apache.ivy.util.Message;0
ivy;2.0;org.apache.ivy.util.cli.ParseException;0
ivy;2.0;org.apache.ivy.plugins.namespace.Namespace;0
ivy;2.0;org.apache.ivy.core.event.retrieve.EndRetrieveEvent;0
ivy;2.0;org.apache.ivy.plugins.version.PatternVersionMatcher;0
ivy;2.0;org.apache.ivy.core.settings.IvySettings$1;0
ivy;2.0;org.apache.ivy.plugins.repository.ssh.SshResource;0
ivy;2.0;org.apache.ivy.plugins.version.VersionRangeMatcher;0
ivy;2.0;org.apache.ivy.plugins.version.Match;0
ivy;2.0;org.apache.ivy.core.module.descriptor.ConfigurationAware;0
ivy;2.0;org.apache.ivy.plugins.latest.LatestStrategy;0
ivy;2.0;org.apache.ivy.core.report.ResolveReport;0
ivy;2.0;org.apache.ivy.core.resolve.ResolveData;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.UpdateOptions;0
ivy;2.0;org.apache.ivy.plugins.conflict.StrictConflictException;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.MDResolvedResource;0
ivy;2.0;org.apache.ivy.plugins.parser.ModuleDescriptorParser;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$1;0
ivy;2.0;org.apache.ivy.core.publish.PublishEngineSettings;0
ivy;2.0;org.apache.ivy.core.IvyThread;0
ivy;2.0;org.apache.ivy.core.settings.IvyVariableContainerImpl;0
ivy;2.0;org.apache.ivy.ant.AddPathTask;0
ivy;2.0;org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser$AbstractParser;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultExcludeRule;0
ivy;2.0;org.apache.ivy.ant.IvyCheck;0
ivy;2.0;org.apache.ivy.plugins.conflict.FixedConflictManager;0
ivy;2.0;org.apache.ivy.plugins.repository.TransferListener;0
ivy;2.0;org.apache.ivy.util.url.HttpClientHandler$GETInputStream;0
ivy;2.0;org.apache.ivy.plugins.version.ExactVersionMatcher;0
ivy;2.0;org.apache.ivy.core.cache.CacheMetadataOptions;0
ivy;2.0;org.apache.ivy.util.AbstractMessageLogger;0
ivy;2.0;org.apache.ivy.core.check.CheckEngineSettings;0
ivy;2.0;org.apache.ivy.util.Checks;0
ivy;2.0;org.apache.ivy.plugins.version.VersionRangeMatcher$1;0
ivy;2.0;org.apache.ivy.plugins.report.XmlReportParser$SaxXmlReportParser;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNodeUsage;2
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultDependencyArtifactDescriptor;0
ivy;2.0;org.apache.ivy.plugins.matcher.RegexpPatternMatcher$RegexpMatcher;0
ivy;2.0;org.apache.ivy.plugins.latest.AbstractLatestStrategy;0
ivy;2.0;org.apache.ivy.ant.IvyConfigure;0
ivy;2.0;org.apache.ivy.plugins.resolver.AbstractSshBasedResolver;0
ivy;2.0;org.apache.ivy.plugins.version.ChainVersionMatcher;0
ivy;2.0;org.apache.ivy.core.deliver.DefaultPublishingDRResolver;0
ivy;2.0;org.apache.ivy.plugins.resolver.FileSystemResolver;0
ivy;2.0;org.apache.ivy.plugins.version.SubVersionMatcher;0
ivy;2.0;org.apache.ivy.core.cache.ParserSettingsMonitor$1;0
ivy;2.0;org.apache.ivy.ant.IvyExtractFromSources$Ignore;0
ivy;2.0;org.apache.ivy.plugins.namespace.NamespaceRule;0
ivy;2.0;org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser;0
ivy;2.0;org.apache.ivy.plugins.repository.vfs.VfsResource;0
ivy;2.0;org.apache.ivy.util.MessageLoggerEngine;0
ivy;2.0;org.apache.ivy.plugins.repository.vsftp.VsftpRepository$1;0
ivy;2.0;org.apache.ivy.core.module.descriptor.ModuleDescriptor;0
ivy;2.0;org.apache.ivy.plugins.lock.FileBasedLockStrategy;0
ivy;2.0;org.apache.ivy.plugins.namespace.MRIDRule;0
ivy;2.0;org.apache.ivy.plugins.trigger.Trigger;0
ivy;2.0;org.apache.ivy.plugins.repository.file.FileResource;0
ivy;2.0;org.apache.ivy.core.settings.XmlSettingsParser;1
ivy;2.0;org.apache.ivy.plugins.parser.ModuleDescriptorParserRegistry;0
ivy;2.0;org.apache.ivy.ant.IvyInfo;1
ivy;2.0;org.apache.ivy.plugins.report.LogReportOutputter;0
ivy;2.0;org.apache.ivy.plugins.repository.vfs.VfsRepository;0
ivy;2.0;org.apache.ivy.ant.IvyPostResolveTask;2
ivy;2.0;org.apache.ivy.util.url.IvyAuthenticator;0
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver;2
ivy;2.0;org.apache.ivy.core.event.download.EndArtifactDownloadEvent;0
ivy;2.0;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser$State;0
ivy;2.0;org.apache.ivy.util.extendable.ExtendableItemHelper;0
ivy;2.0;org.apache.ivy.ant.IvyResolve;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNodeUsage$NodeConf;0
ivy;2.0;org.apache.ivy.plugins.resolver.util.FileURLLister;0
ivy;2.0;org.apache.ivy.core.resolve.IvyNodeUsage$Depender;0
ivy;2.0;org.apache.ivy.ant.PackageMapping;0
ivy;2.0;org.apache.ivy.plugins.resolver.IvyRepResolver;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomReader$PomDependencyMgtElement;0
ivy;2.0;org.apache.ivy.util.FileResolver$1;0
ivy;2.0;org.apache.ivy.core.event.IvyEventFilter$1;0
ivy;2.0;org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser;0
ivy;2.0;org.apache.ivy.core.event.IvyListener;0
ivy;2.0;org.apache.ivy.util.url.HttpClientHandler$HttpClientHelper2x;0
ivy;2.0;org.apache.ivy.plugins.resolver.IvyRepResolver$1;0
ivy;2.0;org.apache.ivy.plugins.conflict.NoConflictManager;0
ivy;2.0;org.apache.ivy.ant.IvyPublish$PublishArtifact;0
ivy;2.0;org.apache.ivy.core.deliver.DeliverEngine;0
ivy;2.0;org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor;1
ivy;2.0;org.apache.ivy.plugins.resolver.BasicResolver$UnresolvedDependencyException;0
ivy;2.0;org.apache.ivy.core.repository.RepositoryManagementEngine$1;0
ivy;2.0;org.apache.ivy.util.Configurator$MacroDef;0
ivy;2.0;org.apache.ivy.plugins.repository.sftp.SFTPRepository$MyProgressMonitor;0
ivy;2.0;org.apache.ivy.ant.IvyAntVariableContainer;0
ivy;2.0;org.apache.ivy.util.filter.FilterHelper;0
