project;version;class;bugs
log4j;1.2;org.apache.log4j.helpers.LogLog;2
log4j;1.2;org.apache.log4j.or.RendererMap;2
log4j;1.2;org.apache.log4j.test.X1Logger;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$3;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$31;0
log4j;1.2;org.apache.log4j.xml.examples.XMLSample;4
log4j;1.2;org.apache.log4j.Hierarchy;2
log4j;1.2;org.apache.log4j.helpers.PatternParser$BasicPatternConverter;0
log4j;1.2;org.apache.log4j.DailyRollingFileAppender;4
log4j;1.2;org.apache.log4j.test.MDCStress;1
log4j;1.2;org.apache.log4j.config.PropertyGetter;2
log4j;1.2;org.apache.log4j.helpers.FileWatchdog;3
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$19;0
log4j;1.2;org.apache.log4j.Level;5
log4j;1.2;org.apache.log4j.Category;5
log4j;1.2;org.apache.log4j.varia.DenyAllFilter;2
log4j;1.2;org.apache.log4j.helpers.DateLayout;2
log4j;1.2;org.apache.log4j.net.test.SocketMin;2
log4j;1.2;org.apache.log4j.HTMLLayout;3
log4j;1.2;org.apache.log4j.lf5.util.AdapterLogRecord;2
log4j;1.2;org.apache.log4j.or.ObjectRenderer;2
log4j;1.2;org.apache.log4j.performance.ListVsVector;2
log4j;1.2;org.apache.log4j.chainsaw.MyTableModel$1;0
log4j;1.2;org.apache.log4j.net.TelnetAppender$SocketHandler;0
log4j;1.2;org.apache.log4j.helpers.PatternParser;3
log4j;1.2;org.apache.log4j.helpers.ThreadLocalMap;2
log4j;1.2;org.apache.log4j.varia.HUP;0
log4j;1.2;org.apache.log4j.net.SocketAppender$Connector;0
log4j;1.2;org.apache.log4j.lf5.viewer.configure.ConfigurationManager;3
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$24;0
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$3;0
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerLogRecordFilter;2
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$14;0
log4j;1.2;org.apache.log4j.performance.NewVsSetLen;2
log4j;1.2;org.apache.log4j.test.StressNDC;0
log4j;1.2;org.apache.log4j.net.SMTPAppender;9
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$5;0
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$6;0
log4j;1.2;org.apache.log4j.net.TelnetAppender;2
log4j;1.2;org.apache.log4j.AsyncAppender;5
log4j;1.2;org.apache.log4j.chainsaw.MyTableModel$Processor;0
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor;2
log4j;1.2;org.apache.log4j.jmx.MethodUnion;2
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$20;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogTableColumnFormatException;3
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeRenderer;3
log4j;1.2;org.apache.log4j.lf5.util.ProductProperties;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogFactor5InputDialog$2;0
log4j;1.2;org.apache.log4j.helpers.PatternConverter;2
log4j;1.2;org.apache.log4j.net.test.SMTPMin;2
log4j;1.2;org.apache.log4j.nt.NTEventLogAppender;4
log4j;1.2;org.apache.log4j.helpers.PatternParser$ClassNamePatternConverter;0
log4j;1.2;org.apache.log4j.Appender;2
log4j;1.2;org.apache.log4j.test.ROFile;1
log4j;1.2;org.apache.log4j.chainsaw.MyTableModel;2
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$15;0
log4j;1.2;org.apache.log4j.spi.ErrorCode;2
log4j;1.2;org.apache.log4j.helpers.AbsoluteTimeDateFormat;3
log4j;1.2;org.apache.log4j.jmx.LayoutDynamicMBean;2
log4j;1.2;org.apache.log4j.performance.ListVsVector$Chain;0
log4j;1.2;org.apache.log4j.helpers.PatternParser$DatePatternConverter;0
log4j;1.2;org.apache.log4j.net.DefaultEvaluator;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$29;0
log4j;1.2;org.apache.log4j.or.ThreadGroupRenderer;2
log4j;1.2;org.apache.log4j.lf5.util.StreamUtils;2
log4j;1.2;org.apache.log4j.varia.FallbackErrorHandler;3
log4j;1.2;org.apache.log4j.net.JMSSink;3
log4j;1.2;org.apache.log4j.test.Finalize;1
log4j;1.2;org.apache.log4j.lf5.util.LogFileParser$1;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogFactor5AboutDialog;0
log4j;1.2;org.apache.log4j.chainsaw.ControlPanel$3;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogTableRowRenderer;3
log4j;1.2;org.apache.log4j.lf5.LogLevel;2
log4j;1.2;org.apache.log4j.lf5.viewer.LogFactor5InputDialog;2
log4j;1.2;org.apache.log4j.test.ShortSocketServer;1
log4j;1.2;org.apache.log4j.xml.XMLLayout;6
log4j;1.2;org.apache.log4j.chainsaw.ControlPanel;3
log4j;1.2;org.apache.log4j.helpers.SyslogWriter;7
log4j;1.2;org.apache.log4j.helpers.PatternParser$CategoryPatternConverter;0
log4j;1.2;org.apache.log4j.lf5.viewer.LogBrokerMonitor$21;0
log4j;1.2;org.apache.log4j.TTCCLayout;2
log4j;1.2;org.apache.log4j.chainsaw.ControlPanel$5;0
log4j;1.2;org.apache.log4j.xml.SAXErrorHandler;3
log4j;1.2;org.apache.log4j.lf5.viewer.LogTableColumn;3
log4j;1.2;org.apache.log4j.spi.Filter;4
log4j;1.2;org.apache.log4j.xml.XMLWatchdog;0
log4j;1.2;org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$4;0
log4j;1.2;org.apache.log4j.spi.RepositorySelector;2
log4j;1.2;org.apache.log4j.lf5.StartLogFactor5;2
