project;version;class;bugs
pBeans;1.0;net.sourceforge.pbeans.data.MySQLDatabase;3
pBeans;1.0;net.sourceforge.pbeans.PersistentMap_StoreInfo;1
pBeans;1.0;net.sourceforge.pbeans.data.Database;1
pBeans;1.0;net.sourceforge.pbeans.util.BeanMapper;0
pBeans;1.0;net.sourceforge.pbeans.Store$1;0
pBeans;1.0;net.sourceforge.pbeans.StoreException;0
pBeans;1.0;net.sourceforge.pbeans.data.GenericDatabase;1
pBeans;1.0;net.sourceforge.pbeans.data.AbstractDatabase$TypeInfo;0
pBeans;1.0;net.sourceforge.pbeans.data.SQLServerDatabase;2
pBeans;1.0;net.sourceforge.pbeans.data.IndexDescriptor;1
pBeans;1.0;net.sourceforge.pbeans.data.GenericDataSource;1
pBeans;1.0;net.sourceforge.pbeans.ObjectClass;0
pBeans;1.0;net.sourceforge.pbeans.StoreInfo;1
pBeans;1.0;net.sourceforge.pbeans.data.DatabaseFactory;0
pBeans;1.0;net.sourceforge.pbeans.PersistentMap;2
pBeans;1.0;net.sourceforge.pbeans.Store;4
pBeans;1.0;net.sourceforge.pbeans.PersistentMapEntry_StoreInfo;1
pBeans;1.0;net.sourceforge.pbeans.Store$ObjectInfo;0
pBeans;1.0;net.sourceforge.pbeans.data.AbstractDatabase;4
pBeans;1.0;net.sourceforge.pbeans.data.ResultsIterator;0
pBeans;1.0;net.sourceforge.pbeans.data.ConnectionPool;1
pBeans;1.0;net.sourceforge.pbeans.PersistentMapEntry;2
pBeans;1.0;net.sourceforge.pbeans.data.FieldDescriptor;1
pBeans;1.0;net.sourceforge.pbeans.DefaultStoreInfo;2
pBeans;1.0;net.sourceforge.pbeans.Index;1
pBeans;1.0;net.sourceforge.pbeans.data.AbstractDatabase$1;0
pBeans;1.0;net.sourceforge.pbeans.data.AbstractDatabase$LockInfo;0
pBeans;1.0;net.sourceforge.pbeans.AbstractStoreInfo;4
pBeans;1.0;net.sourceforge.pbeans.Persistent;1
pBeans;1.0;net.sourceforge.pbeans.data.ConnectionPool$ConnectionWrapper;0
pBeans;1.0;net.sourceforge.pbeans.DuplicateEntryException;0
pBeans;1.0;net.sourceforge.pbeans.data.DefaultDatabaseFactory;2
