project;version;class;bugs
poi;2.0RC1;org.apache.poi.hssf.record.formula.FuncVarPtg;0
poi;2.0RC1;org.apache.poi.hssf.record.GridsetRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.AbstractFunctionPtg;1
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$CORNFLOWER_BLUE;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$WHITE;0
poi;2.0RC1;org.apache.poi.hpsf.TypeReader;0
poi;2.0RC1;org.apache.poi.hssf.dev.EFBiffViewer;1
poi;2.0RC1;org.apache.poi.hssf.record.RightMarginRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.AreaReference;0
poi;2.0RC1;org.apache.poi.hssf.record.ValueRangeRecord;0
poi;2.0RC1;org.apache.poi.util.BinaryTree$BinaryTreeIterator;0
poi;2.0RC1;org.apache.poi.poifs.filesystem.POIFSWriterListener;0
poi;2.0RC1;org.apache.poi.hssf.eventusermodel.HSSFUserException;0
poi;2.0RC1;org.apache.poi.poifs.dev.POIFSViewer;0
poi;2.0RC1;org.apache.poi.hssf.record.PlotGrowthRecord;0
poi;2.0RC1;org.apache.poi.util.BinaryTree$4$1;0
poi;2.0RC1;org.apache.poi.hssf.record.DBCellRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.MulBlankRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.ChartFormatRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$AQUA;0
poi;2.0RC1;org.apache.poi.hpsf.SpecialPropertySet;0
poi;2.0RC1;org.apache.poi.hpsf.MarkUnsupportedException;0
poi;2.0RC1;org.apache.poi.hssf.record.LabelSSTRecord;0
poi;2.0RC1;org.apache.poi.poifs.storage.BlockAllocationTableReader;0
poi;2.0RC1;org.apache.poi.hssf.record.ExtSSTInfoSubRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.SSTRecordHeader;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$LIME;0
poi;2.0RC1;org.apache.poi.util.ByteField;0
poi;2.0RC1;org.apache.poi.hssf.record.BeginRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.FooterRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.AddPtg;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$ORCHID;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.MultiplyPtg;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.MemErrPtg;0
poi;2.0RC1;org.apache.poi.hssf.eventusermodel.HSSFListener;0
poi;2.0RC1;org.apache.poi.hssf.record.WindowProtectRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$GREEN;0
poi;2.0RC1;org.apache.poi.hssf.record.SaveRecalcRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.NumberFormatIndexRecord;0
poi;2.0RC1;org.apache.poi.util.CommonsLogger;1
poi;2.0RC1;org.apache.poi.util.BinaryTree$4;0
poi;2.0RC1;org.apache.poi.poifs.eventfilesystem.POIFSReaderEvent;0
poi;2.0RC1;org.apache.poi.poifs.storage.SmallBlockTableReader;0
poi;2.0RC1;org.apache.poi.util.BinaryTree$2;0
poi;2.0RC1;org.apache.poi.hssf.record.SeriesToChartGroupRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.Ptg;1
poi;2.0RC1;org.apache.poi.hssf.record.formula.GreaterEqualPtg;0
poi;2.0RC1;org.apache.poi.util.BinaryTree$6$1;0
poi;2.0RC1;org.apache.poi.hssf.record.NumberRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$VIOLET;0
poi;2.0RC1;org.apache.poi.util.BitField;0
poi;2.0RC1;org.apache.poi.poifs.dev.POIFSViewable;0
poi;2.0RC1;org.apache.poi.hssf.record.DataFormatRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$ORANGE;0
poi;2.0RC1;org.apache.poi.hssf.usermodel.HSSFRow;1
poi;2.0RC1;org.apache.poi.hssf.record.DateWindow1904Record;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$LIGHT_CORNFLOWER_BLUE;0
poi;2.0RC1;org.apache.poi.hpsf.Thumbnail;0
poi;2.0RC1;org.apache.poi.hssf.record.ContinueRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.IntPtg;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$TEAL;0
poi;2.0RC1;org.apache.poi.poifs.property.Parent;0
poi;2.0RC1;org.apache.poi.poifs.storage.SmallDocumentBlock;0
poi;2.0RC1;org.apache.poi.util.POILogFactory;0
poi;2.0RC1;org.apache.poi.hssf.record.MergeCellsRecord$MergedRegion;0
poi;2.0RC1;org.apache.poi.hssf.record.WindowTwoRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.HCenterRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.ParenthesisPtg;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$TURQUOISE;0
poi;2.0RC1;org.apache.poi.hssf.model.Node;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.AreaPtg;1
poi;2.0RC1;org.apache.poi.hssf.record.SSTRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.VCenterRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.SeriesChartGroupIndexRecord;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$DARK_RED;0
poi;2.0RC1;org.apache.poi.hssf.record.EndRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.SSTDeserializer;0
poi;2.0RC1;org.apache.poi.hssf.util.HSSFColor$RED;0
poi;2.0RC1;org.apache.poi.hssf.record.MulRKRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.formula.SubtractPtg;0
poi;2.0RC1;org.apache.poi.hssf.record.WindowOneRecord;0
poi;2.0RC1;org.apache.poi.hssf.record.FormulaRecord;0
poi;2.0RC1;org.apache.poi.hssf.usermodel.HSSFPalette$1;0
poi;2.0RC1;org.apache.poi.hssf.record.PaneRecord;0
poi;2.0RC1;org.apache.poi.hssf.eventmodel.ModelFactoryListener;0
poi;2.0RC1;org.apache.poi.poifs.storage.SmallBlockTableWriter;1
poi;2.0RC1;org.apache.poi.hssf.record.formula.UnionPtg;0
