project;version;class;bugs
synapse;1.0;org.apache.synapse.mediators.AbstractListMediator;0
synapse;1.0;org.apache.synapse.Constants;0
synapse;1.0;org.apache.synapse.config.xml.DropMediatorFactory;0
synapse;1.0;org.apache.synapse.config.xml.XSLTMediatorFactory;0
synapse;1.0;org.apache.synapse.core.axis2.Axis2Sender;0
synapse;1.0;org.apache.synapse.config.xml.InMediatorFactory;0
synapse;1.0;org.apache.synapse.config.xml.AbstractMediatorFactory;0
synapse;1.0;org.apache.synapse.config.XMLToObjectMapper;0
synapse;1.0;org.apache.synapse.config.xml.LogMediatorSerializer;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.utils.WSDL11EndpointBuilder;0
synapse;1.0;org.apache.synapse.mediators.builtin.RMSequenceMediator;0
synapse;1.0;org.apache.synapse.statistics.impl.ProxyServiceStatisticsStack;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.IndirectEndpointSerializer;0
synapse;1.0;org.apache.synapse.config.SynapseConfigurationBuilder;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.WSDLEndpointSerializer;0
synapse;1.0;org.apache.synapse.mediators.builtin.ValidateMediator$MyErrorHandler;0
synapse;1.0;org.apache.synapse.endpoints.SALoadbalanceEndpoint;0
synapse;1.0;org.apache.synapse.config.xml.MediatorPropertyFactory;0
synapse;1.0;org.apache.synapse.endpoints.dispatch.SoapSessionDispatcher;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.utils.LoadbalanceAlgorithmFactory;0
synapse;1.0;org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher;0
synapse;1.0;org.apache.synapse.statistics.impl.SequenceStatisticsStack$SequenceStatistics;0
synapse;1.0;org.apache.synapse.config.xml.ProxyServiceFactory;0
synapse;1.0;org.apache.synapse.config.xml.PropertyMediatorSerializer;0
synapse;1.0;org.apache.synapse.mediators.filters.FilterMediator;0
synapse;1.0;org.apache.synapse.core.axis2.TimeoutHandler;1
synapse;1.0;org.apache.synapse.util.UUIDGenerator;0
synapse;1.0;org.apache.synapse.core.axis2.AnonymousServiceFactory;0
synapse;1.0;org.apache.synapse.config.xml.SynapseMediatorFactory;0
synapse;1.0;org.apache.synapse.core.axis2.SynapseModule;0
synapse;1.0;org.apache.synapse.mediators.builtin.SendMediator;0
synapse;1.0;org.apache.synapse.statistics.StatisticsCollector;0
synapse;1.0;org.apache.synapse.endpoints.IndirectEndpoint;0
synapse;1.0;org.apache.synapse.endpoints.LoadbalanceEndpoint;0
synapse;1.0;org.apache.synapse.mediators.GetPropertyFunction;2
synapse;1.0;org.apache.synapse.SynapseException;0
synapse;1.0;org.apache.synapse.config.xml.AnonymousListMediatorSerializer;0
synapse;1.0;org.apache.synapse.statistics.StatisticsStack;0
synapse;1.0;org.apache.synapse.config.xml.MediatorSerializerFinder;0
synapse;1.0;org.apache.synapse.endpoints.FailoverEndpoint;0
synapse;1.0;org.apache.synapse.config.xml.AnonymousListMediator;0
synapse;1.0;org.apache.synapse.core.axis2.Axis2MessageContext;1
synapse;1.0;org.apache.synapse.mediators.MediatorProperty;0
synapse;1.0;org.apache.synapse.mediators.filters.SwitchMediator;0
synapse;1.0;org.apache.synapse.mediators.transform.FaultMediator;2
synapse;1.0;org.apache.synapse.core.SynapseEnvironment;1
synapse;1.0;org.apache.synapse.mediators.builtin.PropertyMediator;1
synapse;1.0;org.apache.synapse.config.xml.Constants;0
synapse;1.0;org.apache.synapse.mediators.base.SynapseMediator;0
synapse;1.0;org.apache.synapse.config.xml.ClassMediatorFactory;0
synapse;1.0;org.apache.synapse.config.xml.InMediatorSerializer;0
synapse;1.0;org.apache.synapse.mediators.ext.ClassMediator;0
synapse;1.0;org.apache.synapse.config.xml.SwitchCase;0
synapse;1.0;org.apache.synapse.registry.AbstractRegistry;0
synapse;1.0;org.apache.synapse.registry.url.URLRegistryEntry;0
synapse;1.0;org.apache.synapse.mediators.filters.OutMediator;0
synapse;1.0;org.apache.synapse.config.xml.HeaderMediatorFactory;0
synapse;1.0;org.apache.synapse.FaultHandler;0
synapse;1.0;org.apache.synapse.config.xml.PropertyMediatorFactory;1
synapse;1.0;org.apache.synapse.core.axis2.DynamicAxisOperation;0
synapse;1.0;org.apache.synapse.mediators.transform.HeaderMediator;1
synapse;1.0;org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer;0
synapse;1.0;org.apache.synapse.core.axis2.Axis2SynapseEnvironment;1
synapse;1.0;org.apache.synapse.config.xml.endpoints.EndpointAbstractSerializer;0
synapse;1.0;org.apache.synapse.config.xml.AbstractMediatorSerializer;0
synapse;1.0;org.apache.synapse.metrics.GlobalRequestCountHandler;0
synapse;1.0;org.apache.synapse.config.xml.MediatorSerializer;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory;0
synapse;1.0;org.apache.synapse.config.xml.SwitchMediatorFactory;0
synapse;1.0;org.apache.synapse.config.xml.AbstractListMediatorFactory;0
synapse;1.0;org.apache.synapse.registry.RegistryEntry;0
synapse;1.0;org.apache.synapse.registry.Registry;0
synapse;1.0;org.apache.synapse.config.xml.SequenceMediatorSerializer;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.EndpointFactory;0
synapse;1.0;org.apache.synapse.endpoints.WSDLEndpoint;0
synapse;1.0;org.apache.synapse.core.axis2.ProxyServiceMessageReceiver;0
synapse;1.0;org.apache.synapse.core.axis2.SynapseCallbackReceiver;1
synapse;1.0;org.apache.synapse.mediators.AbstractMediator;0
synapse;1.0;org.apache.synapse.core.axis2.SynapseDispatcher;0
synapse;1.0;org.apache.synapse.config.xml.FaultMediatorSerializer;0
synapse;1.0;org.apache.synapse.metrics.Constants;0
synapse;1.0;org.apache.synapse.SynapseServer;1
synapse;1.0;org.apache.synapse.endpoints.utils.EndpointDefinition;0
synapse;1.0;org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointFactory;0
synapse;1.0;org.apache.synapse.core.axis2.AsyncCallback;0
synapse;1.0;org.apache.synapse.config.xml.XSLTMediatorSerializer;0
