project;version;class;bugs
velocity;1.4;org.apache.velocity.runtime.visitor.BaseVisitor;1
velocity;1.4;org.apache.velocity.runtime.log.SimpleLog4JLogSystem;1
velocity;1.4;org.apache.velocity.runtime.resource.ResourceManagerImpl;2
velocity;1.4;org.apache.velocity.test.ClassloaderChangeTest;0
velocity;1.4;org.apache.velocity.runtime.directive.Foreach;4
velocity;1.4;org.apache.velocity.app.event.EventCartridge;2
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTNENode;1
velocity;1.4;org.apache.velocity.runtime.parser.Parser;0
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTBlock;1
velocity;1.4;org.apache.velocity.test.VelocityServletTest$MockServletContext;0
velocity;1.4;org.apache.velocity.context.VMContext;3
velocity;1.4;org.apache.velocity.test.TemplateTestSuite;0
velocity;1.4;org.apache.velocity.test.CommonsExtPropTestCase;0
velocity;1.4;org.apache.velocity.runtime.parser.node.BooleanPropertyExecutor;1
velocity;1.4;org.apache.velocity.runtime.VelocimacroFactory$Twonk;0
velocity;1.4;org.apache.velocity.runtime.directive.ParseDirectiveException;0
velocity;1.4;org.apache.velocity.util.introspection.Introspector;1
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTGENode;1
velocity;1.4;org.apache.velocity.test.provider.TestProvider;0
velocity;1.4;org.apache.velocity.util.introspection.VelPropertyGet;1
velocity;1.4;org.apache.velocity.util.introspection.Info;1
velocity;1.4;org.apache.velocity.app.event.MethodExceptionEventHandler;2
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTParameters;1
velocity;1.4;org.apache.velocity.runtime.configuration.Configuration$PropertiesReader;0
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTLENode;1
velocity;1.4;org.apache.velocity.test.VelocityAppTestCase;0
velocity;1.4;org.apache.velocity.runtime.parser.node.PropertyExecutor;2
velocity;1.4;org.apache.velocity.app.tools.VelocityFormatter$VelocityAlternator;0
velocity;1.4;org.apache.velocity.exception.MethodInvocationException;2
velocity;1.4;org.apache.velocity.runtime.exception.ReferenceException;2
velocity;1.4;org.apache.velocity.runtime.parser.node.GetExecutor;2
velocity;1.4;org.apache.velocity.runtime.VelocimacroFactory$1;0
velocity;1.4;org.apache.velocity.runtime.directive.VMProxyArg;2
velocity;1.4;org.apache.velocity.runtime.parser.ParserTokenManager;0
velocity;1.4;org.apache.velocity.test.BaseTestCase;0
velocity;1.4;org.apache.velocity.runtime.parser.node.ASTExpression;1
velocity;1.4;org.apache.velocity.context.AbstractContext;1
velocity;1.4;org.apache.velocity.anakia.OutputWrapper;1
